GOterm	NCBITaxon:10090	NCBITaxon:33090	NCBITaxon:3702	NCBITaxon:40674
GO:0001016	1	1	1	1
GO:0001017	0	0	0	0
GO:0001018	1	1	1	1
GO:0001019	1	1	1	1
GO:0001025	1	1	1	1
GO:0001030	1	1	1	1
GO:0001031	1	1	1	1
GO:0001032	1	1	1	1
GO:0001037	1	1	1	1
GO:0001039	1	1	1	1
GO:0001042	1	1	1	1
GO:0001046	1	1	1	1
GO:0001047	1	1	1	1
GO:0001048	1	1	1	1
GO:0001049	1	1	1	1
GO:0001050	1	1	1	1
GO:0001051	1	1	1	1
GO:0001052	1	1	1	1
GO:0001054	1	1	1	1
GO:0001055	1	1	1	1
GO:0001056	1	1	1	1
GO:0001057	1	1	1	1
GO:0001058	1	1	1	1
GO:0001059	1	1	1	1
GO:0001060	1	1	1	1
GO:0001061	0	0	0	0
GO:0001062	0	0	0	0
GO:0001063	0	0	0	0
GO:0001064	1	1	1	1
GO:0001065	1	1	1	1
GO:0001066	1	1	1	1
GO:0001067	1	1	1	1
GO:0001068	1	1	1	1
GO:0001069	1	1	1	1
GO:0001070	0	0	0	0
GO:0001072	0	0	0	0
GO:0001073	1	1	1	1
GO:0001074	1	1	1	1
GO:0001079	1	1	1	1
GO:0001080	1	1	1	1
GO:0001081	1	1	1	1
GO:0001085	1	1	1	1
GO:0001091	1	1	1	1
GO:0001092	1	1	1	1
GO:0001093	1	1	1	1
GO:0001094	1	1	1	1
GO:0001095	1	1	1	1
GO:0001096	1	1	1	1
GO:0001097	1	1	1	1
GO:0001098	1	1	1	1
GO:0001099	1	1	1	1
GO:0001100	1	1	1	1
GO:0001101	1	1	1	1
GO:0001102	1	1	1	1
GO:0001103	1	1	1	1
GO:0001108	1	1	1	1
GO:0001109	1	1	1	1
GO:0001110	1	1	1	1
GO:0001111	1	1	1	1
GO:0001112	1	1	1	1
GO:0001113	1	1	1	1
GO:0001114	1	1	1	1
GO:0001115	1	1	1	1
GO:0001116	1	1	1	1
GO:0001117	1	1	1	1
GO:0001118	1	1	1	1
GO:0001119	1	1	1	1
GO:0001120	1	1	1	1
GO:0001121	0	0	0	0
GO:0001122	0	0	0	0
GO:0001123	0	0	0	0
GO:0001124	0	0	0	0
GO:0001125	0	0	0	0
GO:0001126	0	0	0	0
GO:0001127	0	0	0	0
GO:0001128	1	1	1	1
GO:0001130	0	0	0	0
GO:0001131	0	0	0	0
GO:0001134	1	1	1	1
GO:0001135	1	1	1	1
GO:0001139	1	1	1	1
GO:0001140	0	0	0	0
GO:0001141	0	0	0	0
GO:0001145	1	1	1	1
GO:0001147	1	1	1	1
GO:0001148	0	0	0	0
GO:0001149	0	0	0	0
GO:0001150	0	0	0	0
GO:0001151	0	0	0	0
GO:0001154	1	1	1	1
GO:0001155	1	1	1	1
GO:0001156	1	1	1	1
GO:0001158	1	1	1	1
GO:0001160	1	1	1	1
GO:0001161	1	1	1	1
GO:0001162	1	1	1	1
GO:0001163	1	1	1	1
GO:0001164	1	1	1	1
GO:0001165	1	1	1	1
GO:0001166	1	1	1	1
GO:0001171	1	1	1	1
GO:0001172	1	1	1	1
GO:0001173	1	1	1	1
GO:0001174	1	1	1	1
GO:0001175	1	1	1	1
GO:0001176	0	0	0	0
GO:0001177	1	1	1	1
GO:0001178	1	1	1	1
GO:0001179	1	1	1	1
GO:0001181	1	1	1	1
GO:0001182	1	1	1	1
GO:0001183	1	1	1	1
GO:0001184	1	1	1	1
GO:0001186	1	1	1	1
GO:0001188	1	1	1	1
GO:0001192	1	1	1	1
GO:0001193	1	1	1	1
GO:0001194	0	0	0	0
GO:0001195	1	1	1	1
GO:0001196	1	1	1	1
GO:0001197	1	1	1	1
GO:0001198	1	1	1	1
GO:0001199	1	1	1	1
GO:0001200	1	1	1	1
GO:0001201	1	1	1	1
GO:0001202	1	1	1	1
GO:0001203	1	1	1	1
GO:0001204	0	0	0	0
GO:0001207	1	1	1	1
GO:0001208	1	1	1	1
GO:0001209	1	1	1	1
GO:0001210	1	1	1	1
GO:0001211	1	1	1	1
GO:0001212	1	1	1	1
GO:0001213	1	1	1	1
GO:0001214	1	1	1	1
GO:0001215	0	0	0	0
GO:0001216	0	0	0	0
GO:0001217	0	0	0	0
GO:0001218	0	0	0	0
GO:0001219	0	0	0	0
GO:0001220	0	0	0	0
GO:0001221	1	1	1	1
GO:0001222	1	1	1	1
GO:0001223	1	1	1	1
GO:0001224	1	1	1	1
GO:0001225	1	1	1	1
GO:0001226	1	1	1	1
GO:0001227	1	1	1	1
GO:0001228	1	1	1	1
GO:0001300	1	1	1	1
GO:0001301	1	1	1	1
GO:0001302	1	1	1	1
GO:0001303	1	1	1	1
GO:0001304	1	1	1	1
GO:0001305	1	1	1	1
GO:0001306	1	1	1	1
GO:0001307	1	1	1	1
GO:0001308	1	1	1	1
GO:0001310	1	1	1	1
GO:0001311	1	1	1	1
GO:0001312	1	1	1	1
GO:0001313	1	1	1	1
GO:0001314	1	1	1	1
GO:0001315	1	1	1	1
GO:0001316	1	1	1	1
GO:0001317	1	1	1	1
GO:0001318	1	1	1	1
GO:0001319	1	1	1	1
GO:0001320	1	1	1	1
GO:0001321	1	1	1	1
GO:0001322	1	1	1	1
GO:0001323	1	1	1	1
GO:0001324	1	1	1	1
GO:0001325	1	1	1	1
GO:0001326	1	1	1	1
GO:0001400	1	1	1	1
GO:0001401	1	1	1	1
GO:0001402	1	1	1	1
GO:0001403	0	0	0	0
GO:0001405	1	1	1	1
GO:0001406	1	1	1	1
GO:0001407	1	1	1	1
GO:0001408	1	1	1	1
GO:0001409	1	1	1	1
GO:0001410	0	0	0	0
GO:0001411	1	1	1	1
GO:0001501	1	0	0	1
GO:0001502	1	0	0	1
GO:0001503	1	0	0	1
GO:0001504	1	1	1	1
GO:0001505	1	1	1	1
GO:0001507	1	1	1	1
GO:0001508	1	1	1	1
GO:0001510	1	1	1	1
GO:0001512	1	1	1	1
GO:0001514	1	1	1	1
GO:0001515	1	1	1	1
GO:0001516	1	1	1	1
GO:0001517	1	1	1	1
GO:0001518	1	1	1	1
GO:0001519	1	1	1	1
GO:0001520	1	0	0	1
GO:0001522	1	1	1	1
GO:0001523	1	1	1	1
GO:0001525	1	0	0	1
GO:0001527	1	1	1	1
GO:0001530	1	1	1	1
GO:0001531	1	1	1	1
GO:0001532	1	1	1	1
GO:0001533	1	0	0	1
GO:0001534	1	1	1	1
GO:0001535	1	1	1	1
GO:0001536	1	1	1	1
GO:0001537	1	1	1	1
GO:0001539	1	1	1	1
GO:0001540	1	1	1	1
GO:0001541	1	0	0	1
GO:0001542	1	0	0	1
GO:0001543	1	0	0	1
GO:0001544	1	0	0	1
GO:0001545	1	0	0	1
GO:0001546	1	0	0	1
GO:0001547	1	0	0	1
GO:0001548	1	0	0	1
GO:0001549	1	0	0	1
GO:0001550	1	0	0	1
GO:0001551	1	0	0	1
GO:0001552	1	0	0	1
GO:0001553	1	0	0	1
GO:0001554	1	0	0	1
GO:0001555	1	0	0	1
GO:0001556	1	0	0	1
GO:0001558	1	1	1	1
GO:0001559	1	1	1	1
GO:0001560	1	1	1	1
GO:0001561	1	1	1	1
GO:0001562	1	1	1	1
GO:0001563	1	1	1	1
GO:0001565	1	1	1	1
GO:0001566	1	1	1	1
GO:0001567	1	1	1	1
GO:0001568	1	0	0	1
GO:0001569	1	0	0	1
GO:0001570	1	0	0	1
GO:0001571	1	1	1	1
GO:0001572	1	1	1	1
GO:0001573	1	1	1	1
GO:0001574	1	1	1	1
GO:0001575	1	1	1	1
GO:0001576	1	1	1	1
GO:0001578	1	1	1	1
GO:0001579	1	1	1	1
GO:0001580	1	0	0	1
GO:0001581	1	0	0	1
GO:0001582	1	0	0	1
GO:0001583	1	0	0	1
GO:0001586	1	1	1	1
GO:0001587	1	1	1	1
GO:0001588	1	1	1	1
GO:0001591	1	1	1	1
GO:0001594	1	1	1	1
GO:0001595	1	1	1	1
GO:0001596	1	1	1	1
GO:0001601	1	1	1	1
GO:0001602	1	1	1	1
GO:0001604	1	1	1	1
GO:0001605	1	1	1	1
GO:0001607	1	1	1	1
GO:0001608	1	1	1	1
GO:0001609	1	1	1	1
GO:0001614	1	1	1	1
GO:0001616	1	1	1	1
GO:0001618	1	1	1	1
GO:0001621	1	1	1	1
GO:0001626	1	1	1	1
GO:0001631	1	1	1	1
GO:0001632	1	1	1	1
GO:0001634	1	1	1	1
GO:0001635	1	1	1	1
GO:0001637	1	1	1	1
GO:0001639	1	1	1	1
GO:0001640	1	1	1	1
GO:0001641	1	1	1	1
GO:0001642	1	1	1	1
GO:0001646	1	1	1	1
GO:0001647	1	1	1	1
GO:0001648	1	1	1	1
GO:0001649	1	0	0	1
GO:0001650	1	1	1	1
GO:0001651	1	1	1	1
GO:0001652	1	1	1	1
GO:0001653	1	1	1	1
GO:0001654	1	0	0	1
GO:0001655	1	0	0	1
GO:0001656	1	0	0	1
GO:0001657	1	0	0	1
GO:0001658	1	0	0	1
GO:0001659	1	1	1	1
