inbred,aspect,db_object_symbol,rc,num_gold,num_pred,evalType,source
B73v3,C,GRMZM2G132811,1,8,49,CAFA,GOMAP
B73v3,C,GRMZM2G101698,1,8,17,CAFA,GOMAP
B73v3,C,GRMZM2G068862,1,9,11,CAFA,GOMAP
B73v3,C,AC194970.5_FG001,1,9,25,CAFA,GOMAP
B73v3,C,GRMZM2G361569,0.857142857142857,14,23,CAFA,GOMAP
B73v3,C,GRMZM2G040561,1,8,18,CAFA,GOMAP
B73v3,C,GRMZM2G129155,0.8125,16,59,CAFA,GOMAP
B73v3,C,GRMZM2G173628,1,8,28,CAFA,GOMAP
B73v3,C,GRMZM2G043819,1,8,14,CAFA,GOMAP
B73v3,C,GRMZM2G128971,0.75,24,25,CAFA,GOMAP
B73v3,C,GRMZM2G022563,1,9,11,CAFA,GOMAP
B73v3,C,GRMZM2G110277,1,6,25,CAFA,GOMAP
B73v3,C,GRMZM2G057231,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G021617,0.516129032258065,31,35,CAFA,GOMAP
B73v3,C,GRMZM2G049547,0.5,10,14,CAFA,GOMAP
